Trans Date,Post Date,Description,Category,Charge,Credit
7/13/17,7/13/17,PURCHASE AUTHORIZED ON 07/12 CALIBURGER - DC WASHINGTON DC S587193809703918 CARD 4759,Dining,-22.51,
7/13/17,7/13/17,PURCHASE AUTHORIZED ON 07/11 LYFT *RIDE MON 1 LYFT.COM CA S467193103800701 CARD 3435,Transportation,-3.57,
7/13/17,7/13/17,NATL PUB RADIO PAYROLL 170711 XXXXX0379 Mayes Brittany,Paycheck,,1666.69
7/13/17,7/13/17,NATL PUB RADIO PAYROLL 170711 XXXXX0379 Mayes Brittany,Paycheck,,998.23
7/12/17,7/12/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-3,
7/12/17,7/12/17,PURCHASE AUTHORIZED ON 07/10 TRYCAVIAR.COM BEAU TRYCAVIAR.COM CA S387192036794078 CARD 3435,Dining,-2.2,
7/12/17,7/12/17,PURCHASE AUTHORIZED ON 07/10 TRYCAVIAR.COM BEAU TRYCAVIAR.COM CA S387192031504826 CARD 3435,Dining,-26.4,
7/12/17,7/12/17,PURCHASE AUTHORIZED ON 07/10 SEASONS CULINARY S WASHINGTON DC S587191482997650 CARD 4759,Dining,-5.06,
7/11/17,7/11/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-8,
7/11/17,7/11/17,Hello Digit Inc. Savings W1RVUOYvOMZyeC4 Brittany Mayes,Savings,-19.76,
7/11/17,7/11/17,PURCHASE AUTHORIZED ON 07/10 SQ *INDIGO - INDIA WASHINGTON DC S467191600050146 CARD 4759,Dining,-27.2,
7/11/17,7/11/17,INTERNATIONAL PURCHASE TRANSACTION FEE,Travel,-0.36,
7/11/17,7/11/17,PURCHASE INTL AUTHORIZED ON 07/09 GRIGORIS SPATA GRC S007190267886360 CARD 3435,Shopping,-12.05,
7/11/17,7/11/17,PURCHASE AUTHORIZED ON 07/09 DUTY FREE SHOPS SPATA GRC S007190253781225 CARD 3435,Shopping,-72.1,
7/11/17,7/11/17,PURCHASE AUTHORIZED ON 07/09 MILLER DISTRIBUTOR SPATA GRC S007190230614726 CARD 3435,Dining,-20.45,
7/11/17,7/11/17,INTERNATIONAL PURCHASE TRANSACTION FEE,Travel,-0.95,
7/11/17,7/11/17,PURCHASE INTL AUTHORIZED ON 07/07 NAKAMA ATHINA GRC S087188650366051 CARD 3435,Dining,-31.69,
7/11/17,7/11/17,INTERNATIONAL PURCHASE TRANSACTION FEE,Travel,-0.17,
7/11/17,7/11/17,PURCHASE INTL AUTHORIZED ON 07/07 MOUSEIO AKROPOLIS ATHINA GRC S087188361873293 CARD 3435,Dining,-5.71,
7/11/17,7/11/17,INTERNATIONAL PURCHASE TRANSACTION FEE,Travel,-0.29,
7/11/17,7/11/17,PURCHASE INTL AUTHORIZED ON 07/07 VENETIS ATHINA GRC S007188305941449 CARD 3435,Dining,-9.93,
7/10/17,7/10/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-7,
7/10/17,7/10/17,Hello Digit Inc. Savings bkVEiS3IuMWJgNV Brittany Mayes,Savings,-56.39,
7/10/17,7/10/17,PURCHASE AUTHORIZED ON 07/09 LYFT *RIDE SUN 5 LYFT.COM CA S307190811534752 CARD 3435,Transportation,-20.1,
7/10/17,7/10/17,INTERNATIONAL PURCHASE TRANSACTION FEE,Travel,-0.99,
7/10/17,7/10/17,PURCHASE INTL AUTHORIZED ON 07/09 UberBV http://help.u GRC S087190220428302 CARD 3435,Transportation,-33.18,
7/10/17,7/10/17,INTERNATIONAL PURCHASE TRANSACTION FEE,Travel,-0.12,
7/10/17,7/10/17,PURCHASE INTL AUTHORIZED ON 07/08 UberBV http://help.u GRC S087189766004901 CARD 3435,Transportation,-4.05,
7/10/17,7/10/17,INTERNATIONAL PURCHASE TRANSACTION FEE,Travel,-0.2,
7/10/17,7/10/17,PURCHASE INTL AUTHORIZED ON 07/07 EVGENIDOU IDRIMA PAL FALIRO GRC S087188426268965 CARD 3435,Dining,-6.87,
7/10/17,7/10/17,PURCHASE AUTHORIZED ON 07/07 PAYPAL *SOMACOTOUR 402-935-7733 CA S307188266035525 CARD 3435,Dining,-30.69,
7/10/17,7/10/17,INTERNATIONAL PURCHASE TRANSACTION FEE,Travel,-3.43,
7/10/17,7/10/17,PURCHASE INTL AUTHORIZED ON 07/06 SALACHAS MIKONOS GRC S007187275022085 CARD 3435,Shopping,-114.42,
7/7/17,7/7/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-3,
7/7/17,7/7/17,Hello Digit Inc. Savings Z1Y0o244_GWylYA Brittany Mayes,Savings,-43.38,
7/7/17,7/7/17,INTERNATIONAL PURCHASE TRANSACTION FEE,Travel,-0.1,
7/7/17,7/7/17,PURCHASE INTL AUTHORIZED ON 07/06 UberBV http://help.u GRC S007187715357748 CARD 3435,Transportation,-3.47,
7/7/17,7/7/17,PURCHASE AUTHORIZED ON 07/06 PAYPAL *SLAPS 402-935-7733 CA S387187383854799 CARD 3435,Shopping,-21.95,
7/6/17,7/6/17,Hello Digit Inc. Savings -1-NDRe7_fW1g-4 Brittany Mayes,Savings,,225
7/5/17,7/5/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-11,
7/5/17,7/5/17,Hello Digit Inc. Savings -yiVgvcMuGbyls4 Brittany Mayes,Savings,-24.62,
7/5/17,7/5/17,INTERNATIONAL PURCHASE TRANSACTION FEE,Travel,-1.15,
7/5/17,7/5/17,PURCHASE INTL AUTHORIZED ON 07/04 GABALAS EYAGGELOS THIRA GRC S087185288426964 CARD 3435,Dining,-38.34,
7/5/17,7/5/17,INTERNATIONAL PURCHASE TRANSACTION FEE,Travel,-0.34,
7/5/17,7/5/17,PURCHASE INTL AUTHORIZED ON 07/03 SURIGOU CHARALAMPI IA GRC S087184439933903 CARD 3435,Dining,-11.38,
7/5/17,7/5/17,INTERNATIONAL PURCHASE TRANSACTION FEE,Travel,-0.22,
7/5/17,7/5/17,PURCHASE INTL AUTHORIZED ON 07/02 AKRON THIRA GRC S087183566439163 CARD 3435,Dining,-7.43,
7/5/17,7/5/17,INTERNATIONAL PURCHASE TRANSACTION FEE,Travel,-0.36,
7/5/17,7/5/17,PURCHASE INTL AUTHORIZED ON 07/02 KANAKARIS MARKOS FIRA THIRAS GRC S007183544056356 CARD 3435,Dining,-12.11,
7/5/17,7/5/17,INTERNATIONAL PURCHASE TRANSACTION FEE,Travel,-0.72,
7/5/17,7/5/17,PURCHASE INTL AUTHORIZED ON 07/02 ASIA CLUB THIRA GRC S007183529310656 CARD 3435,Dining,-24.17,
7/5/17,7/5/17,INTERNATIONAL PURCHASE TRANSACTION FEE,Travel,-0.18,
7/5/17,7/5/17,PURCHASE INTL AUTHORIZED ON 07/02 BOOK STORE & MORE THIRA GRC S007183510652512 CARD 3435,Dining,-6.06,
7/5/17,7/5/17,INTERNATIONAL PURCHASE TRANSACTION FEE,Travel,-0.51,
7/5/17,7/5/17,PURCHASE INTL AUTHORIZED ON 07/02 VIVA POS PAYMENTS RETHYMNO GRC S087183479137585 CARD 3435,Dining,-17.14,
7/5/17,7/5/17,INTERNATIONAL PURCHASE TRANSACTION FEE,Travel,-0.31,
7/5/17,7/5/17,PURCHASE INTL AUTHORIZED ON 07/01 CHARILAOS KATERIS ATHINA GRC S007182375872982 CARD 3435,Dining,-10.63,
7/5/17,7/5/17,INTERNATIONAL PURCHASE TRANSACTION FEE,Travel,-0.23,
7/5/17,7/5/17,PURCHASE INTL AUTHORIZED ON 06/30 MARKET IN ATHINA GRC S007181645391135 CARD 3435,Dining,-7.95,
7/5/17,7/5/17,INTERNATIONAL PURCHASE TRANSACTION FEE,Travel,-0.45,
7/5/17,7/5/17,PURCHASE INTL AUTHORIZED ON 06/30 ALL THAT LP ATHINA GRC S087181393618924 CARD 3435,Dining,-15.09,
7/3/17,7/3/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-5,
7/3/17,7/3/17,Hello Digit Inc. Savings Z1gvpex-OfbJegD Brittany Mayes,Savings,-13.74,
7/3/17,7/3/17,NFCU ACH PAYMENT 170630 800253320000002 BRITTANY MAYES,Payment,-156.36,
7/3/17,7/3/17,INTERNATIONAL PURCHASE TRANSACTION FEE,Travel,-0.24,
7/3/17,7/3/17,PURCHASE INTL AUTHORIZED ON 07/01 KAYAK SPATA GRC S007182431915285 CARD 3435,Dining,-8.24,
7/3/17,7/3/17,PURCHASE AUTHORIZED ON 06/30 PAYPAL *SOMACOTOUR 402-935-7733 CA S587181317717297 CARD 3435,Shopping,-26,
7/3/17,7/3/17,PURCHASE AUTHORIZED ON 06/30 ULTA.COM 866-858-2266 IL S387179578901412 CARD 3435,Shopping,-57.11,
6/30/17,6/30/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-4,
6/30/17,6/30/17,Hello Digit Inc. Savings WJAQGdORDfbJlCm Brittany Mayes,Savings,-5.95,
6/30/17,6/30/17,NFCU ACH PAYMENT 170629 798680020000002 BRITTANY MAYES,Payment,-1130.95,
6/30/17,6/30/17,PURCHASE AUTHORIZED ON 06/28 MARRIOTT RIVERBEND 866-435-7627 PA S587179626269673 CARD 3435,Travel,-41,
6/30/17,6/30/17,PURCHASE AUTHORIZED ON 06/28 CHICK FIL A BALTIMORE MD S467179334495455 CARD 3435,Dining,-8.99,
6/29/17,6/29/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-3,
6/29/17,6/29/17,Hello Digit Inc. Savings -kShbHiTPMbJxSh Brittany Mayes,Savings,-22.61,
6/29/17,6/29/17,PURCHASE AUTHORIZED ON 06/28 BT TIXYOUHADMEATBL 855-997-0447 NY S587179575305022 CARD 3435,Entertainment,-16.83,
6/29/17,6/29/17,PURCHASE AUTHORIZED ON 06/28 NYS COLLECTION BWI LINTHICUM MD S467179391033934 CARD 3435,Travel,-12.72,
6/29/17,6/29/17,NATL PUB RADIO PAYROLL 170627 XXXXX0379 Mayes Brittany,Paycheck,,1582.33
6/28/17,6/28/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-1,
6/28/17,6/28/17,ATM WITHDRAWAL AUTHORIZED ON 06/27 1175 UNIVERSITY BLVD E TAKOMA PARK MD 0003680 ATM ID 0294Q CARD 3435,Payment,-300,
6/28/17,6/28/17,PURCHASE AUTHORIZED ON 06/28 MCDONALD'S M5579 O HYATTSVILLE MD S467179170432939 CARD 3435,Dining,-1.48,
6/28/17,6/28/17,Hello Digit Inc. Savings Z16kx9HhPzW1eT1 Brittany Mayes,Savings,,537.28
6/27/17,6/27/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-1,
6/27/17,6/27/17,ONLINE TRANSFER REF #IBECNLY5Y8 TO COLLEGE CARD XXXXXXXXXXXX1764 ON 06/27/17,Payment,-73.44,
6/27/17,6/27/17,PURCHASE AUTHORIZED ON 06/26 Smith Public Trust Washington DC S587177031706068 CARD 3435,Entertainment,-8,
6/27/17,6/27/17,MOBILE DEPOSIT : REF NUMBER :106270026244,Payment,,500
6/26/17,6/26/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-6,
6/26/17,6/26/17,PURCHASE AUTHORIZED ON 06/25 DSW COLUMBIA HEI 3100 WASHINGTON DC P00467176769783847 CARD 3435,Shopping,-40.13,
6/26/17,6/26/17,PURCHASE AUTHORIZED ON 06/25 GIANT 0378 WASHINGTON DC P00587176479697862 CARD 3435,Grocery,-27.54,
6/26/17,6/26/17,PURCHASE AUTHORIZED ON 06/24 DAIRY QUEEN #15373 WOODBRIDGE VA S467175858949623 CARD 3435,Dining,-4.55,
6/26/17,6/26/17,PURCHASE AUTHORIZED ON 06/24 THAI ORCHID RESTAU WOODBRIDGE VA S587175854187266 CARD 3435,Dining,-21,
6/26/17,6/26/17,PURCHASE AUTHORIZED ON 06/24 CHICK-FIL-A #01431 WOODBRIDGE VA S387175531473832 CARD 3435,Dining,-8.33,
6/26/17,6/26/17,PURCHASE AUTHORIZED ON 06/24 Thip Khao Washington DC S467175033198424 CARD 3435,Dining,-42,
6/23/17,6/23/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-5,
6/23/17,6/23/17,Hello Digit Inc. Savings b18y_QhdvGZ1eUJ Brittany Mayes,Savings,-37.28,
6/23/17,6/23/17,NFCU ACH PAYMENT 170622 796716540000002 BRITTANY MAYES,Payment,-406,
6/23/17,6/23/17,PURCHASE AUTHORIZED ON 06/22 FANTASTIC NAIL LTD SPRINGFIELD VA S467173826439221 CARD 3435,Entertainment,-65,
6/23/17,6/23/17,PURCHASE AUTHORIZED ON 06/22 IMPARK00510137A WASHINGTON DC S467173753638866 CARD 3435,Transportation,-12,
6/23/17,6/23/17,PURCHASE AUTHORIZED ON 06/22 LUCKY STRIKE WASHI WASHINGTON DC S307173028702667 CARD 3435,Entertainment,-30,
6/23/17,6/23/17,Hello Digit Inc. Bonus WkK8AKn_DM-yeF8 Brittany Mayes,Savings,2.51,
6/22/17,6/22/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-1,
6/22/17,6/22/17,RECURRING PAYMENT AUTHORIZED ON 06/21 NEW YORK TIMES DIG 800-698-4637 NY S387172760128561 CARD 4759,Entertainment,-8.06,
6/22/17,6/22/17,Hello Digit Inc. Savings Wy-33GiPvM-klW2 Brittany Mayes,Savings,100,
6/21/17,6/21/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-2,
6/21/17,6/21/17,PURCHASE AUTHORIZED ON 06/20 LYFT *RIDE MON 5 LYFT.COM CA S387171802676300 CARD 3435,Transportation,-3.08,
6/21/17,6/21/17,PURCHASE AUTHORIZED ON 06/18 13TH STREET MARKET WASHINGTON DC S007169553662253 CARD 3435,Grocery,-26.37,
6/20/17,6/20/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-1,
6/20/17,6/20/17,PURCHASE AUTHORIZED ON 06/19 EL CHUCHO WASHINGTON DC S387171016241220 CARD 3435,Dining,-10,
6/20/17,6/20/17,Hello Digit Inc. Savings WyaLTtW8PGWygpL Brittany Mayes,Savings,,306.89
6/19/17,6/19/17,SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXX9198,Savings,-8,
6/19/17,6/19/17,PURCHASE AUTHORIZED ON 06/17 CALIBURGER - DC WASHINGTON DC S387169045758952 CARD 3435,Dining,-19,
6/19/17,6/19/17,PURCHASE AUTHORIZED ON 06/17 LYFT *RIDE FRI 7 LYFT.COM CA S387168851099666 CARD 3435,Transportation,-4.04,
6/19/17,6/19/17,PURCHASE AUTHORIZED ON 06/17 SQ *LEON CARRIER 3 WASHINGTON DC S587168547726258 CARD 3435,Grocery,-9.4,
6/19/17,6/19/17,PURCHASE AUTHORIZED ON 06/17 SQ *GIRARDOT'S CRU WASHINGTON DC S387168537712185 CARD 3435,Grocery,-5.25,
6/19/17,6/19/17,PURCHASE AUTHORIZED ON 06/17 PP*MECHELLESBA ALEXANDRIA VA S587168530400405 CARD 3435,Shopping,-33.84,
6/19/17,6/19/17,PURCHASE AUTHORIZED ON 06/16 COLADA SHOP 2 WASHINGTON DC S387167806335099 CARD 3435,Dining,-29,
6/19/17,6/19/17,PURCHASE AUTHORIZED ON 06/15 THAI CAFE SPRINGFIELD VA S287166796912270 CARD 3435,Dining,-20,
6/19/17,6/19/17,PURCHASE AUTHORIZED ON 06/15 MARKET@WORK 206737 2067379149 WA S587166478765231 CARD 3435,Dining,-20,
